artiste,mouvement
Robert Delaunay,Simultanéisme
Robert Delaunay,néo-impressionnisme
Robert Delaunay,Orphisme
Joan Mitchell,expressionnisme abstrait
Jean-Baptiste Despax,baroque
Henri-Arthur Bonnefoy,orientalisme
Narcisse Guilbert,fauvisme
Narcisse Guilbert,postimpressionnisme
Narcisse Guilbert,École de Rouen
Alexandre Adriaenssen,peinture baroque flamande
Amédée Rosier,orientalisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Alexandre Charpentier,Art nouveau
Jean-Baptiste Carpeaux,romantisme
Joseph Csaky,cubisme
Gustave Moreau,symbolisme
Théodore Rousseau,École de Barbizon
Dimitri Varbanesco,École de Paris
Jean-Louis Hamon,néo-grec
Martial Raysse,Nouveau réalisme
Lodovico Carracci,baroque
Antoine Coysevox,baroque
Antoine Coysevox,style Louis XIV
Laurent de La Hyre,classicisme
François Boucher,rococo
Frans Snyders,peinture baroque flamande
Artus Wolffort,peinture baroque flamande
Hubert Robert,préromantisme
Albert Marquet,fauvisme
Auguste Clésinger,romantisme
Philippe de Champaigne,classicisme
Philippe de Champaigne,peinture baroque
José de Ribera,baroque
Nicolas Bertin,rococo
Étienne Dinet,orientalisme
Pierre Lahaut,abstraction lyrique
Charles Jacque,École de Barbizon
Ernest Laurent,impressionnisme
Ernest Laurent,pointillisme
Ernest Laurent,postimpressionnisme
Albert Lebourg,postimpressionnisme
Albert Lebourg,École de Rouen
Albert Lebourg,impressionnisme
Salvator Rosa,baroque
Albert Besnard,symbolisme
Otto Dix,expressionnisme
